player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Warren Zaïre-Emery,France,MID,FRA-Ligue 1,0.8863636363636364,0.9090909090909091,fbref,0.9303590859630032
Luka Vuskovic,Croatia,DEF,GER-Bundesliga,0.9850746268656716,0.26119402985074625,fbref,0.9412404787812839
Eom Ji-Sung,Korea Republic,FWD,ENG2-EFL Championship,0.14285714285714285,0.3333333333333333,fbref,0.884657236126224
Federico Viñas,Uruguay,FWD,ESP-La Liga,0.5714285714285714,0.35714285714285715,fbref,0.942328618063112
Wagner Pina,Cabo Verde,DEF,TUR-Super Lig,0.27976190476190477,1.0,fbref,0.8563656147986942
Miro Muheim,Switzerland,DEF,GER-Bundesliga,0.3076923076923077,0.7692307692307693,fbref,0.9412404787812839
Yahia Fofana,Côte d'Ivoire,GK,TUR-Super Lig,0.0,0.0,gk_neutral,0.8563656147986942
Hernán Galíndez,Ecuador,GK,ARG-Primera Division,0.0,0.0,gk_neutral,0.8781284004352556
Yukinari Sugawara,Japan,DEF,GER-Bundesliga,0.16666666666666666,0.875,fbref,0.9412404787812839
Kojo Peprah Oppong,Ghana,DEF,FRA-Ligue 1,0.6643835616438356,0.23972602739726026,fbref,0.9303590859630032
Aïssa Mandi,Algeria,DEF,FRA-Ligue 1,0.6643835616438356,0.23972602739726026,fbref,0.9303590859630032
Ibañez,Brazil,DEF,SAU-Saudi Pro League,0.7848101265822784,0.8227848101265823,fbref,0.8193688792165397
Lionel Messi,Argentina,FWD,USA-MLS,1.0,1.0,fbref,0.8531011969532101
Adalberto Carrasquilla,Panama,MID,MEX-Liga MX,0.42948717948717946,0.7692307692307693,fbref,0.8465723612622414
Dávinson Sánchez,Colombia,DEF,TUR-Super Lig,0.6071428571428571,0.22023809523809523,fbref,0.8563656147986942
Nathan Ngoy,Belgium,DEF,FRA-Ligue 1,0.6643835616438356,0.7123287671232876,fbref,0.9303590859630032
Mark McKenzie,USA,DEF,FRA-Ligue 1,0.2945205479452055,0.7123287671232876,fbref,0.9303590859630032
Maghnes Akliouche,France,MID,FRA-Ligue 1,0.5384615384615384,0.6730769230769231,fbref,0.9303590859630032
Daniel Muñoz,Colombia,DEF,ENG-Premier League,0.6495327102803738,0.4953271028037383,fbref,1.0
Lee Gi-Hyuk,Korea Republic,DEF,KOR-K League 1,0.3148148148148148,0.6203703703703703,fbref,0.8204570184983678
Nicolas Pépé,Côte d'Ivoire,FWD,ESP-La Liga,0.8292682926829268,0.8780487804878049,fbref,0.942328618063112
Gustaf Lagerbielke,Sweden,DEF,POR-Primeira Liga,0.7738095238095238,0.2857142857142857,fbref,0.8857453754080522
Haris Tabakovic,Bosnia and Herzegovina,FWD,GER-Bundesliga,0.625,0.5,fbref,0.9412404787812839
Roberto Fernández,Paraguay,GK,ESP-La Liga,0.0,0.0,gk_neutral,0.942328618063112
Armando González,Mexico,FWD,MEX-Liga MX,1.0,0.4782608695652174,fbref,0.8465723612622414
Florian Wirtz,Germany,MID,ENG-Premier League,0.7242990654205608,0.4953271028037383,fbref,1.0
Harry Kane,England,FWD,GER-Bundesliga,1.0,0.7647058823529411,fbref,0.9412404787812839
Jerdy Schouten,Netherlands,MID,NED-Eredivisie,0.5277777777777778,0.5833333333333334,fbref,0.8531011969532101
Matias Fernandez-Pardo,Belgium,FWD,FRA-Ligue 1,0.38461538461538464,0.7692307692307693,fbref,0.9303590859630032
Kim Jin-Gyu,Korea Republic,MID,KOR-K League 1,0.7888888888888889,0.9777777777777777,fbref,0.8204570184983678
Jamie Leweling,Germany,MID,GER-Bundesliga,0.8111111111111111,0.9166666666666666,fbref,0.9412404787812839
Ritsu Doan,Japan,DEF,GER-Bundesliga,0.6888888888888889,0.7333333333333333,fbref,0.9412404787812839
Santiago Castro,Argentina,FWD,ITA-Serie A,0.35106382978723405,0.39361702127659576,fbref,0.9357997823721436
Christian Fassnacht,Switzerland,MID,SUI-Super League,1.0,0.7894736842105263,fbref,0.8433079434167573
Danley Jean Jacques,Haiti,MID,USA-MLS,0.7130434782608696,0.6260869565217392,fbref,0.8531011969532101
Ladislav Krejcí,Czechia,DEF,ENG-Premier League,0.75,0.46153846153846156,fbref,1.0
Giorgian de Arrascaeta,Uruguay,MID,BRA-Serie A,1.0,1.0,fbref,0.9042437431991294
Maya Yoshida,Japan,DEF,USA-MLS,0.868421052631579,0.2631578947368421,fbref,0.8531011969532101
Elisha Owusu,Ghana,MID,FRA-Ligue 1,0.10256410256410256,0.11538461538461539,fbref,0.9303590859630032
Fabian Rieder,Switzerland,MID,GER-Bundesliga,0.7833333333333333,0.6,fbref,0.9412404787812839
Amad Diallo,Côte d'Ivoire,FWD,ENG-Premier League,0.37850467289719625,0.5607476635514018,fbref,1.0
Yehvann Diouf,Senegal,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Édouard Mendy,Senegal,GK,SAU-Saudi Pro League,0.0,0.0,gk_neutral,0.8193688792165397
Weverton,Brazil,GK,BRA-Serie A,0.0,0.0,gk_neutral,0.9042437431991294
Hassan Al Tambakti,Saudi Arabia,DEF,SAU-Saudi Pro League,0.5886075949367089,0.2721518987341772,fbref,0.8193688792165397
Amar Memic,Bosnia and Herzegovina,MID,CZE-First League,0.8103448275862069,0.9655172413793104,fbref,0.8400435255712732
Samuel Moutoussamy,Congo DR,MID,GRE-Super League,0.6,0.14615384615384616,fbref,0.8411316648531011
Gideon Mensah,Ghana,DEF,FRA-Ligue 1,0.2945205479452055,0.7876712328767124,fbref,0.9303590859630032
Ayyoub Bouaddi,Morocco,MID,FRA-Ligue 1,0.10256410256410256,0.2948717948717949,fbref,0.9303590859630032
Alan Varela,Argentina,MID,POR-Primeira Liga,0.4675324675324675,0.15584415584415584,fbref,0.8857453754080522
Michael Olise,France,MID,GER-Bundesliga,0.9777777777777777,1.0,fbref,0.9412404787812839
