player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Carlos Rodríguez,Mexico,MID,False,False,Charly Rodríguez,87.5,Charly Rodríguez,87.5
Álvaro Fidalgo,Mexico,MID,True,False,Álvaro Fidalgo,100.0,,
Samir El Mourabet,Morocco,MID,True,False,Samir El Mourabet,100.0,,
Ismaël Baouf,Morocco,DEF,False,False,Ismael Bekhoucha,71.4,Ismael Saibari,69.2
Abdelhamid Aït Boudlal,Morocco,DEF,True,False,Abdelhamid Ait Boudlal,100.0,,
Gessime Yassine,Morocco,FWD,True,False,Gessime Yassine,100.0,Yassine Bounou,63.3
Rayane Bounida,Morocco,FWD,True,False,Yassine Bounou,64.3,Yassine Bounou,64.3
Yassir Zabiri,Morocco,FWD,True,False,Yassir Zabiri,100.0,,
El Mehdi Al Harrar,Morocco,GK,False,False,Aschraf El Mahdioui,61.6,,
Kees Smit,Netherlands,MID,True,False,Kees Smit,100.0,,
Justin Bijlow,Netherlands,GK,True,False,Justin Bijlow,100.0,,
Callum McCowatt,New Zealand,MID,False,True,,,Callum McCowatt,100.0
Alex Rufer,New Zealand,MID,False,True,,,Alex Rufer,100.0
Joe Bell,New Zealand,MID,False,True,,,Joe Bell,100.0
Ryan Thomas,New Zealand,MID,True,False,Ryan Thomas,100.0,,
Francis de Vries,New Zealand,DEF,False,True,,,Francis de Vries,100.0
Tim Payne,New Zealand,DEF,False,True,,,Tim Payne,100.0
Callan Elliot,New Zealand,DEF,False,False,,,,
Kosta Barbarouses,New Zealand,FWD,False,True,,,Kosta Barbarouses,100.0
Ben Waine,New Zealand,FWD,False,True,,,Ben Waine,100.0
Ben Old,New Zealand,FWD,False,True,,,Ben Old,100.0
Jesse Randall,New Zealand,FWD,False,False,,,,
Lachlan Bayliss,New Zealand,MID,False,False,,,,
Alex Paulsen,New Zealand,GK,False,True,,,Alex Paulsen,100.0
